Character,Episodes,Total_Episodes
Alvida,1,1
Benn Beckman,"4,7",2
Bonk Punch,4,1
Boodle,"6,7,8",3
Buggy,"3,4,5,6,7,8",6
Buggy Pirates,"4,5,5",3
Building Snake,4,1
Cabaji,"7,8",2
Chouchou,"6,7,8",3
Gol D. Roger,3,1
Helmeppo,"2,3",2
Heppoko,1,1
Higuma,4,1
Hocker,6,1
Jango,"9,10",2
Kaya,"9,10",2
Koby,"1,2,3",3
Kuro,"9,10",2
Limejuice,4,1
Lord of the Coast,"4,7",2
Lucky Roux,"4,7,9",3
Makino,4,1
Mansion's Guards,"9,10",2
Mohji,"6,7,8",3
Monkey D. Luffy,"1,2,3,4,5,6,7,8,9,10",10
Morgan,"2,3",2
Nami,"1,2,3,4,5,6,7,8,9,10",10
Ninjin,"9,10",2
Nugire Yainu,10,1
Peppoko,1,1
Piiman,"9,10",2
Pinky,"4,5",2
Poppoko,1,1
Poro,8,1
Richie,"6,7",2
Rika,"2,3",2
Ripper,3,1
Ririka,"2,3",2
Rokkaku,2,1
Roronoa Zoro,"1,2,3,4,5,6,7,8,9,10",10
Shanks,"3,4,7,8",4
Shimotsuki Kuina,2,1
Silvers Rayleigh,8,1
Soro,2,1
Tamanegi,"9,10",2
Tightrope Walking Funan Bros,"4,5,8",3
Ukkari,2,1
Usopp,"8,9,10",3
Woop Slap,4,1
Yasopp,"4,7,9",3
